Address,AskingPrice,Beds,Baths,SqFt_Redfin,YearBuilt_Redfin,DaysOnMarket,MatchMethod,PropertyID,RMV,RMVLAND,RMVIMPR,YearBuilt,SqFt,AskToRMV,PctDiff
800 SE GREENWAY DR,649999.0,4.0,4.0,3492.0,1991.0,8.0,exact,R122242,637250.0,220000.0,417250.0,1991.0,3492.0,1.0200062769713614,2.0006276971361316
2363 SE 17TH ALY,479000.0,4.0,3.0,1911.0,2019.0,1.0,exact,R688304,526710.0,186500.0,340210.0,2019.0,1911.0,0.9094188452848816,-9.058115471511838
1556 NE 27TH TER,515000.0,4.0,3.0,1780.0,1994.0,2.0,exact,R296127,484550.0,220000.0,264550.0,1994.0,1757.0,1.0628418119905068,6.284181199050666
2952 SE PHEASANT AVE,565000.0,4.0,3.0,2112.0,2001.0,2.0,exact,R111915,521420.0,222500.0,298920.0,2001.0,2112.0,1.0835794561006482,8.357945610064824
2073 SE KANE AVE,530000.0,4.0,3.0,2284.0,1983.0,2.0,exact,R310454,523550.0,227600.0,295950.0,1983.0,2168.0,1.0123197402349347,1.2319740234934582
3079 SW 22ND,599900.0,4.0,3.0,2334.0,1979.0,8.0,exact,R162743,595850.0,227600.0,368250.0,1979.0,2232.0,1.0067970126709742,0.6797012670974238
2404 SE JASMINE WAY,624950.0,4.0,3.0,2529.0,2005.0,10.0,exact,R532947,582120.0,222500.0,359620.0,2005.0,2529.0,1.0735758950044665,7.357589500446643
2074 SE LINDEN PL,565000.0,4.0,3.0,2043.0,1978.0,11.0,exact,R194786,553890.0,255000.0,298890.0,1978.0,1893.0,1.020058134286591,2.00581342865912
1960 SW 13TH CT,500000.0,5.0,3.0,2532.0,1978.0,14.0,exact,R217739,521240.0,232300.0,288940.0,1978.0,2532.0,0.9592510168060778,-4.074898319392219
1077 SE DOGWOOD LN,699950.0,5.0,4.0,3313.0,1994.0,15.0,exact,R308941,676180.0,237300.0,438880.0,1994.0,3313.0,1.0351533615309534,3.5153361530953298
31616 SE PIPELINE RD,739000.0,4.0,3.0,3060.0,1966.0,29.0,exact,R341951,767920.0,324750.0,443170.0,1966.0,3060.0,0.9623398270653193,-3.766017293468069
242 SE 29TH ST,650000.0,4.0,3.0,2986.0,2007.0,29.0,exact,R557984,602240.0,248000.0,354240.0,2007.0,2986.0,1.0793039319872475,7.930393198724762
17675 SE MCKINLEY RD,1250000.0,5.0,6.0,5778.0,1990.0,40.0,exact,R340544,1003640.0,251500.0,752140.0,1990.0,5745.0,1.245466501932964,24.5466501932964
2910 SE HILLYARD RD,470000.0,6.0,3.0,3693.0,1953.0,45.0,exact,R499703,622260.0,249000.0,373260.0,1953.0,3693.0,0.755311284672002,-24.468871532799792
3169 SE 34TH ST,560000.0,4.0,3.0,2335.0,2023.0,49.0,exact,R715925,646040.0,220000.0,426040.0,2023.0,2370.0,0.8668193919881122,-13.31806080118878
4396 SE 1ST TER,635000.0,4.0,3.0,2327.0,1997.0,56.0,exact,R168541,574710.0,225000.0,349710.0,1997.0,2327.0,1.1049050825633797,10.49050825633798
4724 SE POWELL VALLEY RD,525000.0,4.0,3.0,1748.0,1993.0,59.0,exact,R308953,492070.0,200250.0,291820.0,1993.0,1749.0,1.0669213729753897,6.6921372975389675
704 SE GREENWAY DR,625000.0,5.0,4.0,3657.0,1991.0,74.0,exact,R122247,641770.0,220000.0,421770.0,1991.0,3656.0,0.9738691431509731,-2.613085684902691
6055 SE 28TH ST,799900.0,4.0,3.0,3044.0,2009.0,85.0,exact,R578506,735020.0,225000.0,510020.0,2009.0,3044.0,1.0882697069467497,8.826970694674975
1350 NE COCHRAN DR,539999.0,4.0,3.0,1760.0,1972.0,85.0,exact,R254263,503130.0,225000.0,278130.0,1972.0,1760.0,1.07327927175879,7.327927175878997
1963 SW MYERS PL,725000.0,4.0,4.0,3098.0,1989.0,93.0,exact,R116810,596540.0,230250.0,366290.0,1989.0,3056.0,1.2153418044054045,21.53418044054045
2925 SE CLEVELAND DR,899900.0,7.0,5.0,4814.0,1994.0,107.0,exact,R130407,838290.0,307500.0,530790.0,1994.0,4302.0,1.0734948526166364,7.349485261663624
2728 SE ACACIA PL,518000.0,4.0,3.0,1833.0,2019.0,108.0,fuzzy,R689358,515500.0,198350.0,317150.0,2019.0,1871.0,1.0048496605237633,0.4849660523763337
3412 NW 1ST ST,885000.0,5.0,4.0,4643.0,2004.0,115.0,exact,R503441,781460.0,272750.0,508710.0,2004.0,4463.0,1.1324955851867018,13.249558518670183
5400 SE CHASE RD,1500000.0,5.0,4.0,3235.0,1990.0,121.0,exact,R339821,1382450.0,867400.0,515050.0,1990.0,3243.0,1.0850302000072336,8.503020000723353
2607 SW PLEASANT VIEW DR,1500000.0,5.0,3.0,3046.0,1987.0,127.0,exact,R340427,1243530.0,982500.0,261030.0,1987.0,3046.0,1.2062435164410992,20.62435164410991
3565 SE EL CAMINO DR,575000.0,4.0,3.0,2880.0,1973.0,132.0,exact,R154738,566680.0,220000.0,346680.0,1973.0,2880.0,1.014682007482177,1.468200748217689
4010 SW 13TH CT,451400.0,4.0,2.5,2165.0,1984.0,140.0,exact,R184718,560250.0,255000.0,305250.0,1984.0,2165.0,0.8057117358322178,-19.428826416778225
31563 SE LUSTED RD,1299000.0,4.0,4.0,2760.0,1979.0,154.0,exact,R123286,754740.0,86780.0,429540.0,2014.0,2560.0,1.7211225057635742,72.11225057635741
4000 SW 30TH DR,799000.0,5.0,3.0,2799.0,1997.0,176.0,exact,R185135,687550.0,286500.0,401050.0,1997.0,2902.0,1.162097302014399,16.209730201439896
3689 SE 14TH ST,850000.0,4.0,3.0,1930.0,1948.0,189.0,exact,R340029,691960.0,444950.0,247010.0,1948.0,1930.0,1.2283947048962367,22.83947048962368
3544 SW TEGART LN,550000.0,4.0,3.0,1774.0,2022.0,211.0,exact,R710782,549220.0,243550.0,305670.0,2023.0,1774.0,1.0014201959142055,0.14201959142056006
94 SE 46TH DR,750000.0,4.0,3.0,2821.0,1968.0,277.0,exact,R340934,695140.0,346000.0,349140.0,1968.0,2929.0,1.0789193543746582,7.891935437465834
1758 NW 18TH CT,529900.0,4.0,3.0,2148.0,1992.0,302.0,exact,R111504,505310.0,220000.0,285310.0,1992.0,2148.0,1.0486631968494589,4.866319684945875
