Address,City,SalePrice,RMV,SaleToRMV,LandPct,RMVLAND,RMVIMPR,YearBuilt,SqFt
1208 SE ANKENY ST,PORTLAND,4904000.0,4692320.0,1.04511201282095,13.901865175435605,652320.0,4040000.0,2017.0,19385.0
13770 GOODALL RD,LAKE OSWEGO,4100000.0,4464148.0,0.9184283316771755,15.558803157959817,694568.0,3769580.0,2022.0,5951.0
1210 SE CENTER ST,PORTLAND,379900.0,4234970.0,0.0897054760718494,66.5298691608205,2817520.0,1417450.0,1976.0,6848.0
2164 GOODALL CT,LAKE OSWEGO,4000000.0,4216940.0,0.9485551134234776,10.781277419171248,454640.0,3762300.0,2023.0,6472.0
1814 HIGHLANDS LOOP,LAKE OSWEGO,2250000.0,3946482.0,0.5701280279499564,32.06506453089106,1265442.0,2681040.0,2015.0,6310.0
2490 SUMMIT DR,LAKE OSWEGO,3086243.0,3878898.0,0.795649434452775,81.0688499671814,3144578.0,734320.0,1938.0,3000.0
1115 LAKE FRONT RD,LAKE OSWEGO,3131100.0,3722565.0,0.8411135870025104,62.2427009333618,2317025.0,1405540.0,1975.0,3376.0
3119 DOUGLAS CIR,LAKE OSWEGO,2675000.0,3671639.0,0.7285574643912432,21.285834473378237,781539.0,2890100.0,1940.0,7834.0
13432 NW SPRINGVILLE LN,PORTLAND,2300000.0,3618370.0,0.635645332014139,99.76177118426253,3609750.0,8620.0,1995.0,2700.0
260 IRON MOUNTAIN BLVD,LAKE OSWEGO,3700000.0,3581975.0,1.0329496995372665,25.231750640359017,903795.0,2678180.0,2005.0,5860.0
693 TER DR,LAKE OSWEGO,2500000.0,3464666.0,0.7215702754608958,47.768702668597776,1655026.0,1809640.0,1986.0,3296.0
13962 KNAUS RD,LAKE OSWEGO,4300000.0,3464063.0,1.2413169160029711,20.322753945294874,703993.0,2760070.0,2021.0,5263.0
2600 NE 205TH AVE,FAIRVIEW,164518.0,3434340.0,0.04790381849205379,35.2693676223088,1211270.0,2223070.0,1997.0,0.0
1235 ANDREWS RD,LAKE OSWEGO,3412000.0,3426850.0,0.9956665742591593,18.98507375578155,650590.0,2776260.0,2019.0,4199.0
