Address,City,SalePrice,SaleDate,Source,DateCollected,MatchMethod,MatchConfidence,PropertyID,Zip,RMVLAND,RMVIMPR,RMV,RMV_Year,YearBuilt,SqFt,Bedrooms,DOM,ListingPrice,Dataset,Ratio,PctDiff
4055 NE 13TH TER,GRESHAM,475000.0,2017-03-31,redfin,2026-02-07T11:14:30.529828,exact,1.0,R129446,97030,196000.0,253470.0,449470.0,2023.0,1995,1611.0,,4.0,475000.0,Gresham,1.0568002313836296,5.6800231383629605
1208 SE 209TH AVE,GRESHAM,425000.0,,redfin,2026-02-07T11:14:31.503220,exact,1.0,R178378,97030,220000.0,162170.0,382170.0,2025.0,1967,1164.0,,6.0,425000.0,Gresham,1.1120705445220713,11.207054452207132
3588 SW BINFORD AVE,GRESHAM,579995.0,,redfin,2026-02-07T11:14:33.817240,exact,1.0,R732462,97080,95250.0,0.0,95250.0,2025.0,,,,2.0,579995.0,Gresham,6.0891863517060365,508.91863517060364
4343 NE 1ST ST,GRESHAM,459000.0,,redfin,2026-02-07T11:14:34.797707,exact,1.0,R339646,97030,583000.0,222410.0,805410.0,2025.0,1929,1464.0,,2.0,459000.0,Gresham,0.5698960777740529,-43.0103922225947
450 NE 22ND ST,GRESHAM,385000.0,2024-08-07,redfin,2026-02-07T11:14:35.855443,exact,1.0,R110302,97030,197500.0,161850.0,359350.0,2024.0,1968,1200.0,,2.0,385000.0,Gresham,1.0713788785306804,7.137887853068039
2036 NW 14TH ST,GRESHAM,455000.0,,redfin,2026-02-07T11:14:36.836103,exact,1.0,R125888,97030,220000.0,268510.0,462220.0,2025.0,1980,1700.0,,3.0,455000.0,Gresham,0.9843797325948682,-1.5620267405131756
1495 SE EVELYN CT,GRESHAM,445000.0,2021-01-15,redfin,2026-02-07T11:14:37.785907,exact,1.0,R132088,97080,216250.0,221440.0,437690.0,2023.0,1977,1280.0,,3.0,445000.0,Gresham,1.0167013182846307,1.6701318284630677
85 NE 23RD ST,GRESHAM,449900.0,2017-07-31,redfin,2026-02-07T11:14:38.791006,exact,1.0,R110204,97030,193500.0,209700.0,403200.0,2023.0,1969,1438.0,,3.0,449900.0,Gresham,1.1158234126984128,11.58234126984127
1384 NE 19TH ST,GRESHAM,325000.0,,redfin,2026-02-07T11:14:41.501069,exact,1.0,R270973,97030,220000.0,159860.0,379860.0,2025.0,1974,1008.0,,4.0,325000.0,Gresham,0.8555783709787816,-14.442162902121837
2390 NE SPRUCE AVE,GRESHAM,399000.0,2008-11-21,redfin,2026-02-07T11:14:42.470486,exact,1.0,R276728,97030,190000.0,183040.0,373040.0,2023.0,1972,1275.0,,5.0,399000.0,Gresham,1.0695903924512116,6.959039245121167
2200 NE LIBERTY AVE,GRESHAM,450000.0,,redfin,2026-02-07T11:14:43.548617,exact,1.0,R270934,97030,220000.0,243810.0,432240.0,2025.0,1975,1608.0,,5.0,450000.0,Gresham,1.0410882842865075,4.1088284286507495
4671 SE 21ST TER,GRESHAM,459000.0,2006-07-31,redfin,2026-02-07T11:14:44.580026,exact,1.0,R503515,97080,179000.0,223090.0,402090.0,2023.0,2004,1894.0,,5.0,459000.0,Gresham,1.1415354771319854,14.153547713198538
3915 SW DUNIWAY LN,GRESHAM,469900.0,,redfin,2026-02-07T11:14:47.253153,exact,1.0,R713513,97080,221050.0,96530.0,317580.0,2025.0,2025,1300.0,,6.0,469900.0,Gresham,1.4796271805529315,47.96271805529315
3933 SW DUNIWAY LN,GRESHAM,499900.0,,redfin,2026-02-07T11:14:48.172177,exact,1.0,R713512,97080,221050.0,260400.0,481450.0,2025.0,2025,1500.0,,6.0,499900.0,Gresham,1.0383217364212276,3.832173642122754
7634 SE HOGAN RD,GRESHAM,549900.0,,redfin,2026-02-07T11:14:49.307224,exact,1.0,R118943,97080,325200.0,191020.0,516220.0,2025.0,1950,1064.0,,6.0,549900.0,Gresham,1.0652435008329781,6.5243500832978185
4191 NE EL CAMINO DR,GRESHAM,539900.0,1999-07-21,redfin,2026-02-07T11:14:50.495718,exact,1.0,R154961,97030,200000.0,251170.0,451170.0,2023.0,1979,1885.0,,6.0,539900.0,Gresham,1.1966664450207238,19.66664450207239
3509 SW BATTAGLIA AVE,GRESHAM,584995.0,,redfin,2026-02-07T11:14:51.658525,exact,1.0,R732469,97080,95250.0,0.0,95250.0,2025.0,,,,7.0,584995.0,Gresham,6.141679790026247,514.1679790026247
1711 NW 19TH ST,GRESHAM,600000.0,2025-11-17,redfin,2026-02-07T11:14:52.785563,exact,1.0,R163096,97030,220000.0,267620.0,487620.0,2025.0,1986,1720.0,,7.0,600000.0,Gresham,1.2304663467454164,23.046634674541654
2513 NW 3RD TER,GRESHAM,374900.0,,redfin,2026-02-07T11:14:53.783895,exact,1.0,R494314,97030,176500.0,204320.0,380820.0,2025.0,2006,1716.0,,7.0,374900.0,Gresham,0.9844545979727956,-1.5545402027204454
6164 SE 29TH WAY,GRESHAM,599000.0,2022-02-28,redfin,2026-02-07T11:14:54.812347,exact,1.0,R111911,97080,261750.0,309430.0,571180.0,2023.0,2001,2423.0,,7.0,599000.0,Gresham,1.0487061871914283,4.870618719142827
2652 SW PHYLLIS DR,GRESHAM,585000.0,2010-07-30,redfin,2026-02-07T11:14:55.753850,exact,1.0,R184970,97080,234500.0,261170.0,495670.0,2023.0,1994,1944.0,,8.0,585000.0,Gresham,1.1802207113603809,18.02207113603809
3735 SW 38TH ST,GRESHAM,599999.0,,redfin,2026-02-07T11:14:56.683256,exact,1.0,R728476,97080,215000.0,0.0,215000.0,2025.0,,,,10.0,599999.0,Gresham,2.790693023255814,179.0693023255814
875 SE 25TH ST,GRESHAM,650000.0,2020-11-25,redfin,2026-02-07T11:14:57.618177,exact,1.0,R144545,97080,250500.0,293880.0,544380.0,2023.0,1976,1972.0,,10.0,650000.0,Gresham,1.1940188838678865,19.40188838678864
3510 SW BINFORD AVE,GRESHAM,582995.0,,redfin,2026-02-07T11:14:58.582431,exact,1.0,R732466,97080,95250.0,0.0,95250.0,2025.0,,,,10.0,582995.0,Gresham,6.120682414698162,512.0682414698163
2074 SE LINDEN PL,GRESHAM,565000.0,2016-07-08,redfin,2026-02-07T11:14:59.713362,exact,1.0,R194786,97080,218500.0,292990.0,511490.0,2023.0,1978,1893.0,,11.0,565000.0,Gresham,1.104615926020059,10.461592602005904
3564 SW HARTLEY AVE,GRESHAM,387995.0,,redfin,2026-02-07T11:15:00.804534,exact,1.0,R726413,97080,172000.0,0.0,172000.0,2025.0,,,,13.0,387995.0,Gresham,2.2557848837209304,125.57848837209302
1527 NE LA MESA PL,GRESHAM,565000.0,2022-09-16,redfin,2026-02-07T11:15:01.907300,exact,1.0,R110642,97030,205000.0,223910.0,428910.0,2023.0,1975,1752.0,,14.0,565000.0,Gresham,1.3172926721223566,31.72926721223567
3545 SE 1ST ST,GRESHAM,524900.0,2023-04-17,redfin,2026-02-07T11:15:02.957461,exact,1.0,R154905,97080,188250.0,304210.0,492460.0,2023.0,1980,1694.0,,14.0,524900.0,Gresham,1.0658733704260244,6.587337042602445
23 SE 205TH PL,GRESHAM,445000.0,2022-11-29,redfin,2026-02-07T11:15:04.606295,exact,1.0,R139410,97030,162250.0,232260.0,394510.0,2023.0,1976,1568.0,,15.0,445000.0,Gresham,1.1279815467288534,12.798154672885351
3542 SW BINFORD AVE,GRESHAM,580995.0,,redfin,2026-02-07T11:15:05.767175,exact,1.0,R732464,97080,95250.0,0.0,95250.0,2025.0,,,,15.0,580995.0,Gresham,6.099685039370079,509.9685039370079
