Address,ListingPrice,DOM,RMV,RMVIMPR,Ratio,City
4055 NE 13TH TER,475000.0,4.0,449470.0,253470.0,1.0568002313836296,Gresham
1208 SE 209TH AVE,425000.0,6.0,382170.0,162170.0,1.1120705445220713,Gresham
4343 NE 1ST ST,459000.0,2.0,805410.0,222410.0,0.5698960777740529,Gresham
450 NE 22ND ST,385000.0,2.0,359350.0,161850.0,1.0713788785306804,Gresham
2036 NW 14TH ST,455000.0,3.0,462220.0,268510.0,0.9843797325948682,Gresham
1495 SE EVELYN CT,445000.0,3.0,437690.0,221440.0,1.0167013182846307,Gresham
85 NE 23RD ST,449900.0,3.0,403200.0,209700.0,1.1158234126984128,Gresham
1384 NE 19TH ST,325000.0,4.0,379860.0,159860.0,0.8555783709787816,Gresham
2390 NE SPRUCE AVE,399000.0,5.0,373040.0,183040.0,1.0695903924512116,Gresham
2200 NE LIBERTY AVE,450000.0,5.0,432240.0,243810.0,1.0410882842865075,Gresham
4671 SE 21ST TER,459000.0,5.0,402090.0,223090.0,1.1415354771319854,Gresham
3915 SW DUNIWAY LN,469900.0,6.0,317580.0,96530.0,1.4796271805529315,Gresham
3933 SW DUNIWAY LN,499900.0,6.0,481450.0,260400.0,1.0383217364212276,Gresham
7634 SE HOGAN RD,549900.0,6.0,516220.0,191020.0,1.0652435008329781,Gresham
4191 NE EL CAMINO DR,539900.0,6.0,451170.0,251170.0,1.1966664450207238,Gresham
1711 NW 19TH ST,600000.0,7.0,487620.0,267620.0,1.2304663467454164,Gresham
2513 NW 3RD TER,374900.0,7.0,380820.0,204320.0,0.9844545979727956,Gresham
6164 SE 29TH WAY,599000.0,7.0,571180.0,309430.0,1.0487061871914283,Gresham
2652 SW PHYLLIS DR,585000.0,8.0,495670.0,261170.0,1.1802207113603809,Gresham
875 SE 25TH ST,650000.0,10.0,544380.0,293880.0,1.1940188838678865,Gresham
2074 SE LINDEN PL,565000.0,11.0,511490.0,292990.0,1.104615926020059,Gresham
1527 NE LA MESA PL,565000.0,14.0,428910.0,223910.0,1.3172926721223566,Gresham
3545 SE 1ST ST,524900.0,14.0,492460.0,304210.0,1.0658733704260244,Gresham
23 SE 205TH PL,445000.0,15.0,394510.0,232260.0,1.1279815467288534,Gresham
994 NW WALLULA AVE,615000.0,18.0,542010.0,339260.0,1.134665412077268,Gresham
317 SW ANGELINE AVE,425000.0,20.0,396210.0,186210.0,1.0726634865349183,Gresham
2401 SW ELEVEN MILE DR,629000.0,26.0,564350.0,342350.0,1.11455656950474,Gresham
6433 SE 23RD ST,524900.0,27.0,536940.0,339440.0,0.9775766379856222,Gresham
3907 SW DUNIWAY LN,499900.0,27.0,299170.0,78120.0,1.670956312464485,Gresham
33320 SE FRANCIS RD,519900.0,29.0,672880.0,327880.0,0.7726489121388658,Gresham
2578 NE MORLAN AVE,444000.0,30.0,421570.0,231570.0,1.0532058732832033,Gresham
65 SW PLEASANT VIEW AVE,559000.0,39.0,510680.0,290680.0,1.094618939453278,Gresham
1371 NE BARNES CT,559989.0,40.0,492160.0,277660.0,1.1378190019505852,Gresham
820 NE COCHRAN AVE,455000.0,47.0,401430.0,211430.0,1.1334479236728694,Gresham
830 SE 214TH AVE,465000.0,49.0,372420.0,182420.0,1.2485903012727566,Gresham
4111 NE 3RD ST,494000.0,53.0,494570.0,305830.0,0.9988474836726854,Gresham
3749 SW 6TH ST,500000.0,56.0,486710.0,291710.0,1.0273057878408087,Gresham
2125 SE 18TH ALY,489000.0,65.0,531030.0,344530.0,0.9208519292695327,Gresham
875 SE RENE AVE,498000.0,68.0,424800.0,243300.0,1.1723163841807909,Gresham
2672 SE VISTA WAY,1000000.0,68.0,942340.0,651090.0,1.0611881062037056,Gresham
3279 SE ANDERSON RD,479900.0,69.0,389830.0,180330.0,1.2310494318036067,Gresham
2294 SW WALLULA LN,486000.0,69.0,542030.0,344280.0,0.896629337859528,Gresham
760 SE WILLIAMS RD,399000.0,70.0,408460.0,162210.0,0.9768398374381825,Gresham
2075 SE PALMBLAD RD,785000.0,79.0,648180.0,237970.0,1.21108334104724,Gresham
3756 SW 7TH CT,489900.0,82.0,503840.0,283840.0,0.972332486503652,Gresham
54 NW 13TH ST,980000.0,82.0,1085170.0,727170.0,0.903084309370882,Gresham
27238 SE CARL ST,229950.0,98.0,484810.0,190810.0,0.4743095233184134,Gresham
18505 SE CLINTON ST,529000.0,103.0,458200.0,263200.0,1.1545176778699258,Gresham
1407 SE BEECH PL,848000.0,105.0,855340.0,539090.0,0.9914186171580892,Gresham
4021 NW 3RD ST,499950.0,131.0,520670.0,322170.0,0.9602051203257341,Gresham
5856 SE WOODLAND DR,315000.0,145.0,351930.0,170430.0,0.8950643593896513,Gresham
32022 SE DODGE PARK BLVD,850000.0,157.0,656600.0,399600.0,1.2945476698141942,Gresham
361 NE VILLAGE SQUIRE AVE,259900.0,164.0,283880.0,140130.0,0.9155276877553896,Gresham
420 SE LINDEN AVE,375000.0,167.0,322230.0,137230.0,1.163765012568662,Gresham
3010 SW PHYLLIS DR,550000.0,200.0,553610.0,277860.0,0.9934791640324416,Gresham
179 SE 46TH DR,699990.0,209.0,764380.0,544380.0,0.9157617938721578,Gresham
7008 SE 302ND AVE,699500.0,227.0,926160.0,219080.0,0.7552690679796148,Gresham
1026 SE 213TH AVE,440000.0,253.0,466010.0,278510.0,0.9441857470869723,Gresham
152 SE 205TH DR,429999.0,308.0,389430.0,218430.0,1.104175333179262,Gresham
1615 HARLANDALE AVE,445000.0,99.0,452120.0,267620.0,0.984251968503937,Salem
3280 DUNCAN AVE,240000.0,1.0,376500.0,239460.0,0.6374501992031872,Salem
4986 CHAN ST S,350000.0,25.0,516800.0,351800.0,0.6772445820433437,Salem
2332 VENETA AVE S,675000.0,1.0,677110.0,512110.0,0.9968838150374384,Salem
1923 RITING CT,485000.0,2.0,430720.0,246220.0,1.126021545319465,Salem
4055 ALANA AVE SE,464900.0,4.0,471250.0,306250.0,0.986525198938992,Salem
4554 JAN REE DR,475000.0,4.0,466720.0,329680.0,1.017740829619472,Salem
2749 MERCED CT SE,629900.0,4.0,654850.0,470350.0,0.9618996716805376,Salem
1333 MORNINGSIDE DR,419800.0,5.0,401490.0,216990.0,1.045605120924556,Salem
5657 BOUNDARY DR,498000.0,5.0,572610.0,407610.0,0.8697018913396553,Salem
1149 CAYUSE CIR SE,385000.0,5.0,366850.0,224350.0,1.0494752623688155,Salem
1392 62ND AVE SE,775000.0,5.0,737280.0,350500.0,1.0511610243055556,Salem
2072 EQUESTRIAN LOOP,499000.0,6.0,475350.0,310350.0,1.049752813716209,Salem
2049 LIMESTONE AVE,659900.0,6.0,701380.0,494280.0,0.9408594485157832,Salem
270 BRINK CT,329900.0,6.0,407400.0,270360.0,0.8097692685321551,Salem
5578 FERNBROOK CT S,393500.0,7.0,369890.0,204890.0,1.0638297872340423,Salem
3386 CHEROKEE DR S,785000.0,8.0,686880.0,516880.0,1.1428488236664338,Salem
527 GRANDOVER AVE SE,569900.0,9.0,527380.0,397380.0,1.0806249762979256,Salem
4691 RAWHIDE CT NE,399900.0,9.0,381010.0,243970.0,1.049578751213879,Salem
1955 HIGHWAY AVE NE,275000.0,10.0,428790.0,245680.0,0.6413395834790924,Salem
6418 DORAL DR SE,515000.0,10.0,534060.0,369060.0,0.9643111260907016,Salem
4974 NINA AVE SE,415000.0,11.0,352420.0,187420.0,1.1775722149707737,Salem
830 KUMLER ST SE,365000.0,11.0,341120.0,153620.0,1.0700046904315197,Salem
911 HURON CT SE,399000.0,12.0,465890.0,281390.0,0.8564253364528107,Salem
5946 WALINA CT SE,799997.0,12.0,661560.0,404130.0,1.209258419493319,Salem
4290 IVORY WAY NE,464000.0,12.0,492850.0,355810.0,0.9414629197524602,Salem
6889 BLAZER LN SE,830000.0,13.0,835710.0,508300.0,0.9931674863289898,Salem
253 EIDER AVE,669900.0,14.0,760330.0,575330.0,0.8810648008101746,Salem
1810 19TH ST,190000.0,14.0,405960.0,268920.0,0.4680264065425165,Salem
945 HOOD ST NE,354900.0,15.0,351860.0,214820.0,1.0086397999204229,Salem
766 20TH ST NE,359900.0,15.0,331030.0,196490.0,1.0872126393378243,Salem
4275 WHEAT CT,515000.0,15.0,548080.0,411040.0,0.9396438476134872,Salem
838 HAZELTINE AVE SE,575000.0,17.0,618420.0,470420.0,0.9297888166618156,Salem
3440 OSBORN AVE NE,317000.0,18.0,362070.0,235200.0,0.875521308034358,Salem
4799 SESAME ST,415000.0,18.0,434720.0,297680.0,0.9546374677953624,Salem
1860 PLATEAU ST NE,425000.0,19.0,447240.0,310200.0,0.9502727841874608,Salem
2735 SUMMER ST SE,250000.0,19.0,319060.0,134560.0,0.7835516830690152,Salem
319 18TH ST,300000.0,20.0,273530.0,136490.0,1.09677183489928,Salem
4039 VILLAGE CENTER DR SE,399900.0,21.0,411750.0,255170.0,0.9712204007285976,Salem
142 45TH AVE NE,410000.0,22.0,303120.0,166080.0,1.3525996305093693,Salem
870 IRONWOOD DR SE,499000.0,24.0,484980.0,319980.0,1.0289084085941689,Salem
1305 20TH ST,400000.0,27.0,420940.0,321190.0,0.9502541929966266,Salem
1155 18TH ST NE,455000.0,27.0,417920.0,270880.0,1.0887251148545176,Salem
1140 CHANDLER DR S,675000.0,28.0,776250.0,608250.0,0.8695652173913043,Salem
4744 RAVINE CT NE,415000.0,28.0,422550.0,285510.0,0.9821322920364454,Salem
1630 BERRY ST SE,369900.0,29.0,323850.0,139350.0,1.14219546086151,Salem
2271 TOWNSEND WAY SE,345000.0,29.0,292470.0,181420.0,1.179608164939994,Salem
790 HANSEN AVE S,384900.0,30.0,310360.0,145360.0,1.2401727026678695,Salem
155 KASHMIR ST SE,514999.0,30.0,468030.0,303030.0,1.100354678118924,Salem
4914 SONG SPARROW ST NE,360000.0,31.0,332800.0,195760.0,1.0817307692307692,Salem
4853 BURNTWOOD CT SE,360000.0,31.0,312640.0,175600.0,1.1514841351074718,Salem
1030 LEFFELLE ST SE,425000.0,32.0,378930.0,194430.0,1.1215791834903543,Salem
3889 DAKOTA RD SE,299000.0,32.0,396120.0,231120.0,0.7548217711804504,Salem
1041 BARNES AVE,422900.0,33.0,454600.0,324600.0,0.9302683677958644,Salem
3185 LINK CT S,365000.0,34.0,420900.0,278400.0,0.8671893561416013,Salem
2775 FOXHAVEN DR SE,625000.0,34.0,595280.0,399480.0,1.0499260852036016,Salem
1030 21ST ST NE,295000.0,35.0,290680.0,153640.0,1.0148617035915783,Salem
1810 LIBERTY ST NE,294000.0,35.0,199090.0,101840.0,1.4767190717765837,Salem
398 21ST ST,355000.0,35.0,279810.0,142770.0,1.2687180586826776,Salem
3635 LACHS CT,499000.0,38.0,445760.0,280760.0,1.1194364680545583,Salem
4933 REGAL DR NE,333900.0,43.0,319190.0,182150.0,1.04608540367806,Salem
