Account Number,Situs Address,SaleDate,SalePrice,RMVLAND,RMVIMPR,RMV,AV,Difference,Percent_Difference,Ratio
603821,4931 DENALI ST SE SALEM OR 97302,2024-02-01,750000.0,187500,520480,707980,353090,42020.0,5.935195909488969,1.0593519590948897
339614,5352 KALI ST SE SALEM OR 97306,2024-01-02,487000.0,184500,384310,568810,346180,-81810.0,-14.382658532726216,0.8561734146727378
570333,1240 PANORAMA CT SE SALEM OR 97302,2024-01-02,490000.0,218400,361520,579920,354120,-89920.0,-15.505586977514142,0.8449441302248586
592088,160 WILSON ST S SALEM OR 97302,2024-01-03,350500.0,120000,193100,313100,187790,37400.0,11.945065474289365,1.1194506547428937
556003,4869 NORTHSTAR CT NE SALEM OR 97305,2024-01-03,410500.0,140040,255860,395900,207250,14600.0,3.687799949482193,1.0368779994948218
605111,5915 EVANGELISTA ST S SALEM OR 97306,2024-01-08,698187.0,165000,516500,681500,339050,16687.0,2.448569332355099,1.0244856933235509
522211,4636 REIMANN ST NE SALEM OR 97305,2024-01-24,325000.0,137040,139160,276200,122460,48800.0,17.668356263577117,1.1766835626357712
590592,2017 FIELDCREST CT S SALEM OR 97306,2024-01-11,420000.0,165000,232590,397590,176850,22410.0,5.636459669508791,1.0563645966950879
574709,2475 LANSING AVE NE SALEM OR 97301,2024-01-11,494000.0,175010,337070,512080,195810,-18080.0,-3.53069832838619,0.964693016716138
560365,4748 DEEPWOOD LOOP NE SALEM OR 97305,2024-01-11,185000.0,98060,175690,273750,163190,-88750.0,-32.42009132420091,0.6757990867579908
566048,6458 DORAL DR SE SALEM OR 97306,2024-01-12,435000.0,165000,341850,506850,315920,-71850.0,-14.175791654335601,0.858242083456644
605099,5862 VERONA ST S SALEM OR 97306,2024-01-10,645000.0,165000,580350,745350,376080,-100350.0,-13.46347353592272,0.8653652646407728
583683,345 JERRIS AVE SE SALEM OR 97302,2024-01-12,355000.0,184500,164620,349120,183790,5880.0,1.6842346471127405,1.0168423464711274
352661,2482 EQUESTRIAN LOOP S SALEM OR 97302,2024-01-10,495000.0,165000,340430,505430,286460,-10430.0,-2.0635894189106305,0.9793641058108937
585196,915 WINTER ST NE SALEM OR 97301,2024-01-05,335000.0,128000,240510,368510,165370,-33510.0,-9.093376027787576,0.9090662397221242
594135,2885 VINTAGE AVE SE SALEM OR 97306,2024-01-23,650000.0,184500,439950,624450,314340,25550.0,4.0916006085355106,1.040916006085355
567162,1985 5TH ST NE SALEM OR 97301,2024-01-23,280000.0,97250,142970,240220,98660,39780.0,16.559820164848887,1.165598201648489
527254,3015 TESS AVE NE SALEM OR 97301,2024-01-22,440000.0,147040,224550,371590,167140,68410.0,18.410075620980113,1.1841007562098012
566202,6307 FAIRWAY AVE SE SALEM OR 97306,2024-01-25,232000.0,0,293010,293010,136770,-61010.0,-20.821814955120985,0.7917818504487901
526918,1528 30TH AVE NE SALEM OR 97301,2024-01-19,300000.0,137040,131140,268180,96240,31820.0,11.865165187560594,1.118651651875606
567859,4560 PATRIOT CT SE SALEM OR 97302,2024-01-19,583852.0,184500,398170,582670,360750,1182.0,0.20285925137728042,1.0020285925137729
