Address,ListingPrice,DOM,RMV,RMVLAND,RMVIMPR,Ratio
1615 HARLANDALE AVE,445000.0,99.0,452120.0,184500.0,267620.0,0.984251968503937
3280 DUNCAN AVE,240000.0,1.0,376500.0,137040.0,239460.0,0.6374501992031872
4986 CHAN ST S,350000.0,25.0,516800.0,165000.0,351800.0,0.6772445820433437
2332 VENETA AVE S,675000.0,1.0,677110.0,165000.0,512110.0,0.9968838150374385
1923 RITING CT,485000.0,2.0,430720.0,184500.0,246220.0,1.126021545319465
4055 ALANA AVE SE,464900.0,4.0,471250.0,165000.0,306250.0,0.986525198938992
4554 JAN REE DR,475000.0,4.0,466720.0,137040.0,329680.0,1.017740829619472
2749 MERCED CT SE,629900.0,4.0,654850.0,184500.0,470350.0,0.9618996716805376
1333 MORNINGSIDE DR,419800.0,5.0,401490.0,184500.0,216990.0,1.045605120924556
5657 BOUNDARY DR,498000.0,5.0,572610.0,165000.0,407610.0,0.8697018913396553
1149 CAYUSE CIR SE,385000.0,5.0,366850.0,142500.0,224350.0,1.0494752623688155
1392 62ND AVE SE,775000.0,5.0,737280.0,386780.0,350500.0,1.0511610243055556
2072 EQUESTRIAN LOOP,499000.0,6.0,475350.0,165000.0,310350.0,1.049752813716209
2049 LIMESTONE AVE,659900.0,6.0,701380.0,207100.0,494280.0,0.9408594485157832
270 BRINK CT,329900.0,6.0,407400.0,137040.0,270360.0,0.8097692685321551
5578 FERNBROOK CT S,393500.0,7.0,369890.0,165000.0,204890.0,1.0638297872340425
3386 CHEROKEE DR S,785000.0,8.0,686880.0,170000.0,516880.0,1.1428488236664338
527 GRANDOVER AVE SE,569900.0,9.0,527380.0,130000.0,397380.0,1.0806249762979256
4691 RAWHIDE CT NE,399900.0,9.0,381010.0,137040.0,243970.0,1.049578751213879
1955 HIGHWAY AVE NE,275000.0,10.0,428790.0,183110.0,245680.0,0.6413395834790924
6418 DORAL DR SE,515000.0,10.0,534060.0,165000.0,369060.0,0.9643111260907015
4974 NINA AVE SE,415000.0,11.0,352420.0,165000.0,187420.0,1.1775722149707735
830 KUMLER ST SE,365000.0,11.0,341120.0,187500.0,153620.0,1.0700046904315197
911 HURON CT SE,399000.0,12.0,465890.0,184500.0,281390.0,0.8564253364528107
5946 WALINA CT SE,799997.0,12.0,661560.0,257430.0,404130.0,1.209258419493319
4290 IVORY WAY NE,464000.0,12.0,492850.0,137040.0,355810.0,0.9414629197524602
6889 BLAZER LN SE,830000.0,13.0,835710.0,327410.0,508300.0,0.9931674863289898
253 EIDER AVE,669900.0,14.0,760330.0,185000.0,575330.0,0.8810648008101746
1810 19TH ST,190000.0,14.0,405960.0,137040.0,268920.0,0.4680264065425165
945 HOOD ST NE,354900.0,15.0,351860.0,137040.0,214820.0,1.0086397999204229
766 20TH ST NE,359900.0,15.0,331030.0,134540.0,196490.0,1.0872126393378243
4275 WHEAT CT,515000.0,15.0,548080.0,137040.0,411040.0,0.9396438476134871
838 HAZELTINE AVE SE,575000.0,17.0,618420.0,148000.0,470420.0,0.9297888166618156
3440 OSBORN AVE NE,317000.0,18.0,362070.0,126870.0,235200.0,0.875521308034358
4799 SESAME ST,415000.0,18.0,434720.0,137040.0,297680.0,0.9546374677953625
1860 PLATEAU ST NE,425000.0,19.0,447240.0,137040.0,310200.0,0.9502727841874609
2735 SUMMER ST SE,250000.0,19.0,319060.0,184500.0,134560.0,0.7835516830690152
319 18TH ST,300000.0,20.0,273530.0,137040.0,136490.0,1.0967718348992799
4039 VILLAGE CENTER DR SE,399900.0,21.0,411750.0,156580.0,255170.0,0.9712204007285975
142 45TH AVE NE,410000.0,22.0,303120.0,137040.0,166080.0,1.3525996305093693
870 IRONWOOD DR SE,499000.0,24.0,484980.0,165000.0,319980.0,1.0289084085941689
1305 20TH ST,400000.0,27.0,420940.0,99750.0,321190.0,0.9502541929966266
1155 18TH ST NE,455000.0,27.0,417920.0,147040.0,270880.0,1.0887251148545176
1140 CHANDLER DR S,675000.0,28.0,776250.0,168000.0,608250.0,0.8695652173913043
4744 RAVINE CT NE,415000.0,28.0,422550.0,137040.0,285510.0,0.9821322920364454
1630 BERRY ST SE,369900.0,29.0,323850.0,184500.0,139350.0,1.14219546086151
2271 TOWNSEND WAY SE,345000.0,29.0,292470.0,111050.0,181420.0,1.1796081649399939
790 HANSEN AVE S,384900.0,30.0,310360.0,165000.0,145360.0,1.2401727026678695
155 KASHMIR ST SE,514999.0,30.0,468030.0,165000.0,303030.0,1.100354678118924
4914 SONG SPARROW ST NE,360000.0,31.0,332800.0,137040.0,195760.0,1.0817307692307692
4853 BURNTWOOD CT SE,360000.0,31.0,312640.0,137040.0,175600.0,1.1514841351074718
1030 LEFFELLE ST SE,425000.0,32.0,378930.0,184500.0,194430.0,1.1215791834903543
3889 DAKOTA RD SE,299000.0,32.0,396120.0,165000.0,231120.0,0.7548217711804504
1041 BARNES AVE,422900.0,33.0,454600.0,130000.0,324600.0,0.9302683677958645
3185 LINK CT S,365000.0,34.0,420900.0,142500.0,278400.0,0.8671893561416013
2775 FOXHAVEN DR SE,625000.0,34.0,595280.0,195800.0,399480.0,1.0499260852036016
1030 21ST ST NE,295000.0,35.0,290680.0,137040.0,153640.0,1.0148617035915783
1810 LIBERTY ST NE,294000.0,35.0,199090.0,97250.0,101840.0,1.4767190717765835
398 21ST ST,355000.0,35.0,279810.0,137040.0,142770.0,1.2687180586826776
3635 LACHS CT,499000.0,38.0,445760.0,165000.0,280760.0,1.1194364680545585
